date,team,opponent,GF,GA,pre_rating_team,pre_rating_opponent,did_score_team,fail_to_score_team,did_receive_goal_team,not_receive_goal_team,GF_last_5_team,GA_last_5_team,qatar,magic_johnson_team,rating_team,did_score_opponent,fail_to_score_opponent,did_receive_goal_opponent,not_receive_goal_opponent,GF_last_5_opponent,GA_last_5_opponent,magic_johnson_opponent,rating_opponent
2020-11-11,Bulgaria,Gibraltar,3,0,1517,1146,2,3,5,0,2,8,FALSE,0.894319969851128,1523,3,2,3,2,4,12,0.105680030148872,1140
2020-10-14,Bulgaria,Wales,0,1,1534,1742,2,3,5,0,2,8,FALSE,0.231947996832416,1520,2,3,2,3,2,4,0.768052003167584,1756
2020-10-08,Bulgaria,Hungary,1,3,1569,1626,3,2,5,0,3,5,FALSE,0.418698521631085,1544,5,0,2,3,10,6,0.581301478368915,1651
2020-09-03,Bulgaria,Ireland,1,1,1591,1709,3,2,5,0,4,5,FALSE,0.336425901958705,1601,1,4,2,3,1,2,0.663574098041296,1699
2020-02-26,Bulgaria,Belarus,0,1,1628,1563,4,1,4,1,5,4,FALSE,0.592466230584332,1592,4,1,0,5,6,0,0.407533769415668,1599
2018-11-19,Bulgaria,Slovenia,1,1,1644,1540,4,1,4,1,6,4,FALSE,0.645352450439383,1635,4,1,5,0,4,7,0.354647549560618,1549
2022-06-03,Burkina Faso,Cape Verde,2,0,1532,1482,3,2,4,1,5,14,FALSE,0.571463117408381,1558,4,1,2,3,11,3,0.428536882591619,1456
2022-01-29,Burkina Faso,Tunisia,1,0,1545,1619,5,0,3,2,7,4,FALSE,0.395087097992043,1581,2,3,3,2,5,4,0.604912902007957,1583
2022-01-23,Burkina Faso,Gabon,1,1,1558,1445,4,1,2,3,6,3,FALSE,0.657118686487079,1549,4,1,4,1,5,7,0.342881313512921,1454
2022-01-17,Burkina Faso,Ethiopia,1,1,1572,1334,4,1,2,3,7,4,FALSE,0.797386314027704,1554,4,1,5,0,6,9,0.202613685972296,1352
2022-01-13,Burkina Faso,Cape Verde,1,0,1542,1518,4,1,3,2,7,5,FALSE,0.534483944726832,1570,5,0,3,2,7,3,0.465516055273169,1490
2022-01-02,Burkina Faso,Gabon,3,0,1552,1415,4,1,2,3,9,3,FALSE,0.687538248212342,1571,5,0,3,2,6,6,0.312461751787658,1396
2021-12-30,Burkina Faso,Mauritania,0,0,1568,1370,5,0,3,2,10,4,FALSE,0.757639174862252,1553,3,2,5,0,4,12,0.242360825137748,1385
2022-03-29,Burundi,Liberia,2,1,1227,1288,2,3,5,0,10,7,FALSE,0.4131049766209,1262,1,4,5,0,3,9,0.5868950233791,1253
2021-11-13,Burundi,Myanmar,2,1,1237,1033,2,3,5,0,10,8,FALSE,0.763924699144839,1251,1,4,4,1,1,25,0.236075300855161,1019
2021-09-04,Burundi,Seychelles,8,1,1277,966,3,2,5,0,6,8,FALSE,0.856959139264449,1286,4,1,5,0,5,21,0.143040860735552,957
2022-09-22,Cambodia,Bangladesh,0,1,869,831,2,3,5,0,4,12,FALSE,0.554469374021676,836,2,3,3,2,2,8,0.445530625978324,864
2022-06-02,Cambodia,East Timor,2,1,867,644,4,1,4,1,8,12,FALSE,0.783077443409676,880,2,3,5,0,3,18,0.216922556590324,631
2021-12-15,Cambodia,Laos,3,0,855,678,4,1,4,1,6,18,FALSE,0.734757089316547,871,3,2,5,0,3,17,0.265242910683453,662
2021-10-12,Cambodia,Guam,2,1,824,749,2,3,4,1,2,25,FALSE,0.606287823785428,848,1,4,5,0,1,15,0.393712176214572,725
2022-03-25,Cameroon,Algeria,0,1,1641,1699,4,1,3,2,8,5,FALSE,0.41729811503577,1616,3,2,2,3,6,4,0.58270188496423,1724
2022-02-05,Cameroon,Burkina Faso,3,3,1658,1561,4,1,3,2,9,3,FALSE,0.636076899687882,1650,5,0,3,2,5,5,0.363923100312118,1569
2022-02-03,Cameroon,Egypt,0,0,1669,1686,5,0,4,1,11,4,FALSE,0.475554538879339,1670,3,2,2,3,4,2,0.524445461120662,1685
2022-01-29,Cameroon,Gambia,2,0,1651,1474,5,0,4,1,10,4,FALSE,0.734757089316547,1667,4,1,2,3,4,3,0.265242910683453,1458
2022-01-24,Cameroon,Comoros,2,1,1648,1292,5,0,3,2,12,3,FALSE,0.885876942585849,1655,3,2,4,1,6,7,0.11412305741415,1285
2022-01-17,Cameroon,Cape Verde,1,1,1663,1491,5,0,2,3,12,2,FALSE,0.729109962897753,1649,4,1,3,2,5,3,0.270890037102248,1505
2022-01-13,Cameroon,Ethiopia,4,1,1645,1347,5,0,2,3,11,2,FALSE,0.84753872399585,1654,3,2,5,0,5,6,0.15246127600415,1338
2022-01-09,Cameroon,Burkina Faso,2,1,1623,1568,5,0,2,3,10,3,FALSE,0.578496752344743,1648,4,1,2,3,8,3,0.421503247655257,1543
2021-03-30,Cameroon,Rwanda,0,0,1568,1322,3,2,3,2,7,5,FALSE,0.80472469349926,1550,3,2,2,3,4,3,0.195275306500741,1340
2020-11-12,Cameroon,Mozambique,4,1,1591,1252,1,4,2,3,1,3,FALSE,0.875603668640993,1598,2,3,4,1,2,7,0.124396331359007,1245
