team,quarter,year,rank,total_points,previous_points,index_fifa
Malta,2017.2,2017,182.666666666667,85.6666666666667,85,0.0523101974353755
Macau,2017.2,2017,184,82,82,0.0500712395684918
Guam,2017.2,2017,184.333333333333,84.6666666666667,89,0.0516995725625891
Bermuda,2017.2,2017,185.333333333333,80,77,0.0488499898229188
Brunei Darussalam,2017.2,2017,185.666666666667,79.3333333333333,76.6666666666667,0.0484429065743945
Seychelles,2017.2,2017,186,78,78,0.0476287400773458
Liechtenstein,2017.2,2017,186.333333333333,78,75.6666666666667,0.0476287400773458
Solomon Islands,2017.2,2017,187,77,77,0.0470181152045593
American Samoa,2017.2,2017,190.666666666667,64,64,0.039079991858335
Cook Islands,2017.2,2017,190.666666666667,64,64,0.039079991858335
Samoa,2017.2,2017,190.666666666667,64,64,0.039079991858335
Bangladesh,2017.2,2017,191,65.3333333333333,73.3333333333333,0.0398941583553837
Timor-Leste,2017.2,2017,193,56.6666666666667,60.3333333333333,0.0346020761245675
US Virgin Islands,2017.2,2017,195,44,44,0.0268674944026053
Sri Lanka,2017.2,2017,196.333333333333,39.6666666666667,43.3333333333333,0.0242214532871972
Mongolia,2017.2,2017,197,36.6666666666667,38,0.0223895786688378
Pakistan,2017.2,2017,197.666666666667,35,37.6666666666667,0.021371870547527
Montserrat,2017.2,2017,199,30,30,0.0183187461835945
Cayman Islands,2017.2,2017,200.333333333333,21,21,0.0128231223285162
Turks and Caicos Islands,2017.2,2017,201.333333333333,20,20,0.0122124974557297
Andorra,2017.2,2017,202,17.6666666666667,12,0.0107877060858946
San Marino,2017.2,2017,202.333333333333,17,17,0.0103806228373702
British Virgin Islands,2017.2,2017,204,11,11,0.00671687360065133
Djibouti,2017.2,2017,206,4,4,0.00244249949114594
Argentina,2017.1,2017,1,1629.66666666667,1633.66666666667,1
Brazil,2017.1,2017,2.33333333333333,1499.33333333333,1425.66666666667,0.920024544896707
Germany,2017.1,2017,2.66666666666667,1443.66666666667,1415,0.885866230312947
Belgium,2017.1,2017,4.66666666666667,1372.66666666667,1373,0.842299038658212
Chile,2017.1,2017,4.66666666666667,1360.33333333333,1320.33333333333,0.834731028840254
Colombia,2017.1,2017,5.66666666666667,1350.33333333333,1343,0.82859480466353
France,2017.1,2017,7,1293.66666666667,1254.66666666667,0.793822867662099
Portugal,2017.1,2017,8,1229.66666666667,1229.33333333333,0.75455103293107
Uruguay,2017.1,2017,9,1183,1178.33333333333,0.725915320106361
Spain,2017.1,2017,10,1166.66666666667,1158.33333333333,0.715892820617713
Wales,2017.1,2017,11.6666666666667,1118.33333333333,1131.66666666667,0.686234403763551
Switzerland,2017.1,2017,12,1109.66666666667,1073.33333333333,0.680916342810391
England,2017.1,2017,12.6666666666667,1106,1111.33333333333,0.678666393945592
Croatia,2017.1,2017,14.6666666666667,1077.66666666667,1063,0.661280425444876
Italy,2017.1,2017,15,1082.66666666667,1096.33333333333,0.664348537533238
Poland,2017.1,2017,15,1068.33333333333,1034,0.655553282879934
Costa Rica,2017.1,2017,17.3333333333333,1017.66666666667,985,0.624463080384537
Mexico,2017.1,2017,17.6666666666667,1008.33333333333,1023.33333333333,0.618735937819595
Ecuador,2017.1,2017,19.6666666666667,904,913,0.554714665575782
Peru,2017.1,2017,20.3333333333333,931.666666666667,890.333333333333,0.571691552464717
Iceland,2017.1,2017,21,892,872,0.547351196563715
Netherlands,2017.1,2017,21.3333333333333,891.666666666667,883,0.547146655757824
Turkey,2017.1,2017,24.3333333333333,848.333333333333,859.666666666667,0.520556350992023
Hungary,2017.1,2017,24.6666666666667,847.666666666667,876.666666666667,0.520147269380241
Slovakia,2017.1,2017,25.3333333333333,838,832.333333333333,0.514215586009409
Rep. of Ireland,2017.1,2017,26.3333333333333,830.666666666667,802.666666666667,0.509715688279812
United States,2017.1,2017,26.6666666666667,832,849.333333333333,0.510533851503375
Bosnia & Herz'na,2017.1,2017,27.3333333333333,819,831.666666666667,0.502556760073635
IR Iran,2017.1,2017,28.6666666666667,816,782,0.500715892820618
Ukraine,2017.1,2017,29.3333333333333,803.666666666667,802,0.493147883002659
Austria,2017.1,2017,30.6666666666667,779.333333333333,801.333333333333,0.478216404172632
Senegal,2017.1,2017,32.6666666666667,764.333333333333,740.666666666667,0.469012067907548
Côte d'Ivoire,2017.1,2017,33,758,760,0.465125792595623
Northern Ireland,2017.1,2017,33.3333333333333,757.666666666667,768,0.464921251789732
Tunisia,2017.1,2017,35.6666666666667,732.333333333333,707,0.449376150542033
Algeria,2017.1,2017,37,708.333333333333,727.333333333333,0.434649212517897
Romania,2017.1,2017,37.3333333333333,708.666666666667,736.333333333333,0.434853753323788
Paraguay,2017.1,2017,39,702,714,0.430762937205973
Egypt,2017.1,2017,39.3333333333333,688,644,0.42217222335856
Korea Republic,2017.1,2017,39.3333333333333,679.333333333333,657.666666666667,0.4168541624054
Sweden,2017.1,2017,40.3333333333333,688.333333333333,689,0.422376764164451
Czech Republic,2017.1,2017,42,668.333333333333,698.666666666667,0.410104315811004
Greece,2017.1,2017,42,668,650.666666666667,0.409899775005114
Serbia,2017.1,2017,43.6666666666667,648,633,0.397627326651667
Australia,2017.1,2017,45,646.666666666667,647.333333333333,0.396809163428104
Japan,2017.1,2017,47,629.666666666667,606.333333333333,0.386377582327674
Denmark,2017.1,2017,47.3333333333333,630.666666666667,628.666666666667,0.386991204745347
Congo DR,2017.1,2017,48,628.333333333333,612,0.385559419104111
Albania,2017.1,2017,48.3333333333333,618.333333333333,638.333333333333,0.379423194927388
Ghana,2017.1,2017,50.3333333333333,616.666666666667,632.333333333333,0.378400490897934
Slovenia,2017.1,2017,51,609,571,0.373696052362446
Nigeria,2017.1,2017,53.6666666666667,598,570.666666666667,0.366946205768051
Russia,2017.1,2017,54.6666666666667,592.666666666667,623.666666666667,0.363673552873798
Saudi Arabia,2017.1,2017,54.6666666666667,595.666666666667,590,0.365514420126815
Burkina Faso,2017.1,2017,55.6666666666667,584,545.666666666667,0.358355491920638
Uzbekistan,2017.1,2017,57.3333333333333,579.333333333333,598.666666666667,0.355491920638167
Morocco,2017.1,2017,58,578.666666666667,573,0.355082839026386
Mali,2017.1,2017,59.6666666666667,568.666666666667,572.333333333333,0.348946614849663
Panama,2017.1,2017,59.6666666666667,573,558,0.351605645326243
Montenegro,2017.1,2017,60.6666666666667,556,481.666666666667,0.341174064225813
South Africa,2017.1,2017,60.6666666666667,566.333333333333,556.333333333333,0.347514829208427
Venezuela,2017.1,2017,62,559.333333333333,553,0.343219472284721
Israel,2017.1,2017,62.6666666666667,546.666666666667,463.666666666667,0.335446921660871
Cameroon,2017.1,2017,63,545,555.333333333333,0.334424217631417
Scotland,2017.1,2017,63.6666666666667,539,581.666666666667,0.330742483125384
Congo,2017.1,2017,65,527.666666666667,554.666666666667,0.323788095725097
Benin,2017.1,2017,66,527.333333333333,511.333333333333,0.323583554919206
UAE,2017.1,2017,66,530.666666666667,518,0.325628962978114
Equ. Guinea,2017.1,2017,68,515.333333333333,529.333333333333,0.316220085907138
Guinea-Bissau,2017.1,2017,68.3333333333333,515,501.333333333333,0.316015545101248
Uganda,2017.1,2017,72.3333333333333,492.666666666667,499,0.302311311106566
Trin & Tobago,2017.1,2017,73.6666666666667,479.333333333333,492.333333333333,0.294129678870935
Belarus,2017.1,2017,75,464,498.333333333333,0.284720801799959
Curaçao,2017.1,2017,75.6666666666667,462,406,0.283493556964614
Jamaica,2017.1,2017,76,462.666666666667,451.666666666667,0.283902638576396
Haiti,2017.1,2017,76.3333333333333,466.333333333333,427.333333333333,0.286152587441195
Cape Verde,2017.1,2017,77,464.666666666667,475.333333333333,0.285129883411741
Bulgaria,2017.1,2017,77.3333333333333,459.666666666667,452.333333333333,0.282061771323379
St. Kitts & Nevis,2017.1,2017,77.6666666666667,452.666666666667,457.333333333333,0.277766414399673
Honduras,2017.1,2017,79,446.333333333333,431,0.273880139087748
Faroe Islands,2017.1,2017,80.3333333333333,437.666666666667,403.333333333333,0.268562078134588
Guatemala,2017.1,2017,80.3333333333333,444.666666666667,442.333333333333,0.272857435058294
Libya,2017.1,2017,82.3333333333333,431.666666666667,448,0.264880343628554
Norway,2017.1,2017,82.6666666666667,427.333333333333,449,0.262221313151974
China PR,2017.1,2017,83,423,429,0.259562282675394
Antigua,2017.1,2017,85.6666666666667,412.666666666667,416.333333333333,0.25322151769278
Kenya,2017.1,2017,87.6666666666667,402.666666666667,397,0.247085293516057
Qatar,2017.1,2017,88.6666666666667,401.666666666667,394.333333333333,0.246471671098384
Azerbaijan,2017.1,2017,89.3333333333333,392,347.333333333333,0.240539987727552
Bolivia,2017.1,2017,90,387.333333333333,423.666666666667,0.237676416445081
Zambia,2017.1,2017,91,383,375,0.235017385968501
Togo,2017.1,2017,91.6666666666667,378,361,0.231949273880139
Kazakhstan,2017.1,2017,95,364.666666666667,383.666666666667,0.223767641644508
Syria,2017.1,2017,95.3333333333333,358.333333333333,345,0.219881366332583
Finland,2017.1,2017,96,357.666666666667,371.333333333333,0.219472284720802
Sierra Leone,2017.1,2017,96.3333333333333,354.666666666667,360.333333333333,0.217631417467785
Armenia,2017.1,2017,99.3333333333333,364.666666666667,333,0.223767641644508
Rwanda,2017.1,2017,100,344.666666666667,328.666666666667,0.211495193291062
Malawi,2017.1,2017,102,331.666666666667,335.666666666667,0.203518101861321
Swaziland,2017.1,2017,102,338.666666666667,335.666666666667,0.207813458785028
Liberia,2017.1,2017,102.666666666667,332.333333333333,329.333333333333,0.203927183473103
Lithuania,2017.1,2017,103,331.666666666667,327.333333333333,0.203518101861321
Mozambique,2017.1,2017,103.333333333333,332.666666666667,353.333333333333,0.204131724278994
Zimbabwe,2017.1,2017,104.666666666667,330.333333333333,324.333333333333,0.202699938637758
Namibia,2017.1,2017,105,331.333333333333,316,0.203313561055431
CAR,2017.1,2017,105.333333333333,325,316.333333333333,0.199427285743506
Jordan,2017.1,2017,106,323,344,0.198200040908161
Equatorial Guinea,2017.1,2017,106.666666666667,322,365.666666666667,0.197586418490489
Botswana,2017.1,2017,108.666666666667,309.666666666667,327,0.19001840867253
Mauritania,2017.1,2017,110,315.666666666667,326.333333333333,0.193700143178564
Nicaragua,2017.1,2017,110,311,333.666666666667,0.190836571896093
Gabon,2017.1,2017,110.333333333333,313,318.333333333333,0.192063816731438
New Zealand,2017.1,2017,111.666666666667,309.333333333333,333,0.189813867866639
Latvia,2017.1,2017,113,304.666666666667,322.333333333333,0.186950296584169
Canada,2017.1,2017,115,295.666666666667,311.333333333333,0.181427694825118
Kyrgyz Republic,2017.1,2017,115,291,310.666666666667,0.178564123542647
Iraq,2017.1,2017,117.333333333333,290.333333333333,290.666666666667,0.178155041930865
Ethiopia,2017.1,2017,117.666666666667,284.666666666667,280.666666666667,0.174677848230722
Estonia,2017.1,2017,119,283.333333333333,279.666666666667,0.173859685007159
