team,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Attendance,Captain,Referee,qatar
Ecuador,2020-11-12,16:00,WCQ,WCQ — CONMEBOL (M),Thu,Away,W,3,2,Bolivia,"",Alexander Domínguez,Wilton Pereira Sampaio,FALSE
Ecuador,2020-11-17,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Home,W,6,1,Colombia,"",Alexander Domínguez,Jesús Valenzuela,FALSE
Ecuador,2021-06-04,21:30,WCQ,WCQ — CONMEBOL (M),Fri,Away,L,0,2,Brazil,"",Enner Valencia,Alexis Herrera,FALSE
Ecuador,2021-06-08,16:00,WCQ,WCQ — CONMEBOL (M),Tue,Home,L,1,2,Peru,"",Alexander Domínguez,Esteban Ostojich,FALSE
Ecuador,2021-09-02,16:00,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,2,0,Paraguay,"",Enner Valencia,Andrés Matonte,FALSE
Ecuador,2021-09-05,16:00,WCQ,WCQ — CONMEBOL (M),Sun,Home,D,0,0,Chile,"",Enner Valencia,Facundo Tello,FALSE
Ecuador,2021-09-09,19:30,WCQ,WCQ — CONMEBOL (M),Thu,Away,L,0,1,Uruguay,"",Carlos Gruezo,Anderson Daronco,FALSE
Ecuador,2021-10-07,19:30,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,3,0,Bolivia,"",Enner Valencia,Wilmar Roldán,FALSE
Ecuador,2021-10-10,16:30,WCQ,WCQ — CONMEBOL (M),Sun,Away,L,1,2,Venezuela,"",Enner Valencia,Andrés Cunha,FALSE
Ecuador,2021-10-14,16:00,WCQ,WCQ — CONMEBOL (M),Thu,Away,D,0,0,Colombia,"",Enner Valencia,Diego Haro,FALSE
Ecuador,2021-11-11,16:00,WCQ,WCQ — CONMEBOL (M),Thu,Home,W,1,0,Venezuela,"",Alexander Domínguez,Christian Ferreyra,FALSE
Ecuador,2021-11-16,21:15,WCQ,WCQ — CONMEBOL (M),Tue,Away,W,2,0,Chile,"",Alexander Domínguez,Fernando Rapallini,FALSE
Ecuador,2022-01-27,16:00,WCQ,WCQ — CONMEBOL (M),Thu,Home,D,1,1,Brazil,"",Enner Valencia,Wilmar Roldán,FALSE
Ecuador,2022-02-01,21:00,WCQ,WCQ — CONMEBOL (M),Tue,Away,D,1,1,Peru,"",Carlos Gruezo,Wilton Sampaio,FALSE
Ecuador,2022-03-24,20:30,WCQ,WCQ — CONMEBOL (M),Thu,Away,L,1,3,Paraguay,"",Enner Valencia,Jesús Valenzuela,FALSE
Ecuador,2022-03-29,18:30,WCQ,WCQ — CONMEBOL (M),Tue,Home,D,1,1,Argentina,"",Carlos Gruezo,Raphael Claus,FALSE
Ecuador,2022-06-02,20:30,Friendlies (M),Friendlies (M),Thu,Neutral,W,1,0,Nigeria,"25,219",Enner Valencia,Ricardo Montero,FALSE
Ecuador,2022-06-05,18:30,Friendlies (M),Friendlies (M),Sun,Neutral,D,0,0,Mexico,"61,104",Alexander Domínguez,Oliver Vergara,FALSE
Ecuador,2022-06-11,20:00,Friendlies (M),Friendlies (M),Sat,Neutral,W,1,0,Cape Verde,"",Alexander Domínguez,Moeth Gaymes,FALSE
Ecuador,2022-09-23,20:00,Friendlies (M),Friendlies (M),Fri,Neutral,D,0,0,Saudi Arabia,"",Enner Valencia,Ivan Bebek,FALSE
Ecuador,2022-09-27,13:55,Friendlies (M),Friendlies (M),Tue,Neutral,D,0,0,Japan,"4,321",Ángel Mena,Sascha Stegemann,FALSE
Ecuador,2022-11-12,18:30,Friendlies (M),Friendlies (M),Sat,Neutral,D,0,0,Iraq,"",Alexander Domínguez,Gustavo Correia,FALSE
England,2021-03-25,19:45,WCQ,First round,Thu,Home,W,5,0,San Marino,"",Raheem Sterling,Kirill Levnikov,FALSE
England,2021-03-28,18:00,WCQ,First round,Sun,Away,W,2,0,Albania,200,Harry Kane,Orel Grinfeeld,FALSE
England,2021-03-31,19:45,WCQ,First round,Wed,Home,W,2,1,Poland,"",Harry Kane,Björn Kuipers,FALSE
England,2021-09-02,20:45,WCQ,First round,Thu,Away,W,4,0,Hungary,"58,260",Harry Kane,Cüneyt Çakιr,FALSE
England,2021-09-05,17:00,WCQ,First round,Sun,Home,W,4,0,Andorra,"67,171",Jordan Henderson,Anastasios Papapetrou,FALSE
England,2021-09-08,20:45,WCQ,First round,Wed,Away,D,1,1,Poland,"56,212",Harry Kane,Daniel Siebert,FALSE
England,2021-10-09,20:45,WCQ,First round,Sat,Away,W,5,0,Andorra,"2,285",Kieran Trippier,Kateryna Monzul,FALSE
England,2021-10-12,19:45,WCQ,First round,Tue,Home,D,1,1,Hungary,"69,380",Harry Kane,Alejandro Hernández,FALSE
England,2021-11-12,19:45,WCQ,First round,Fri,Home,W,5,0,Albania,"80,366",Harry Kane,Ruddy Buquet,FALSE
England,2021-11-15,20:45,WCQ,First round,Mon,Away,W,10,0,San Marino,"",Harry Kane,Rade Obrenović,FALSE
England,2022-03-26,17:30,Friendlies (M),Friendlies (M),Sat,Home,W,2,1,Switzerland,"",Harry Kane,Andreas Ekberg,FALSE
England,2022-03-29,19:45,Friendlies (M),Friendlies (M),Tue,Home,W,3,0,Côte d'Ivoire,"",Raheem Sterling,Erik Lambrechts,FALSE
England,2022-06-04,18:00,UEFA Nations League,League A,Sat,Away,L,0,1,Hungary,"26,935",Harry Kane,Artur Dias,FALSE
England,2022-06-07,20:45,UEFA Nations League,League A,Tue,Away,D,1,1,Germany,"66,289",Harry Kane,Carlos del Cerro,FALSE
England,2022-06-11,19:45,UEFA Nations League,League A,Sat,Home,D,0,0,Italy,"1,782",Tammy Abraham,Szymon Marciniak,FALSE
England,2022-06-14,19:45,UEFA Nations League,League A,Tue,Home,L,0,4,Hungary,"28,839",Harry Kane,Clément Turpin,FALSE
England,2022-09-23,20:45,UEFA Nations League,League A,Fri,Away,L,0,1,Italy,"50,640",Harry Kane,Jesús Gil,FALSE
England,2022-09-26,19:45,UEFA Nations League,League A,Mon,Home,D,3,3,Germany,"78,949",Harry Kane,Danny Makkelie,FALSE
France,2021-03-24,20:45,WCQ,First round,Wed,Home,D,1,1,Ukraine,"",Hugo Lloris,Tobias Stieler,FALSE
France,2021-03-28,19:00,WCQ,First round,Sun,Away,W,2,0,Kazakhstan,"",Hugo Lloris,Aliaksei Kulbakou,FALSE
France,2021-03-31,20:45,WCQ,First round,Wed,Away,W,1,0,Bosnia & Herz'na,"",Hugo Lloris,Daniele Orsato,FALSE
France,2021-09-01,20:45,WCQ,First round,Wed,Home,D,1,1,Bosnia & Herz'na,"21,754",Hugo Lloris,Sandro Schärer,FALSE
France,2021-09-04,21:45,WCQ,First round,Sat,Away,D,1,1,Ukraine,"48,000",Hugo Lloris,Slavko Vinčič,FALSE
France,2021-09-07,20:45,WCQ,First round,Tue,Home,W,2,0,Finland,"57,057",Hugo Lloris,Deniz Aytekin,FALSE
France,2021-11-13,20:45,WCQ,First round,Sat,Home,W,8,0,Kazakhstan,"45,551",Hugo Lloris,Glenn Nyberg,FALSE
France,2021-11-16,21:45,WCQ,First round,Tue,Away,W,2,0,Finland,"31,890",Hugo Lloris,Marco Guida,FALSE
France,2022-03-25,21:15,Friendlies (M),Friendlies (M),Fri,Home,W,2,1,Côte d'Ivoire,"62,510",Hugo Lloris,Vitor Ferreira Fernandes,FALSE
France,2022-03-29,21:15,Friendlies (M),Friendlies (M),Tue,Home,W,5,0,South Africa,"48,120",Raphaël Varane,Sandro Schärer,FALSE
France,2022-06-03,20:45,UEFA Nations League,League A,Fri,Home,L,1,2,Denmark,"75,833",Hugo Lloris,Felix Zwayer,FALSE
France,2022-06-06,20:45,UEFA Nations League,League A,Mon,Away,D,1,1,Croatia,"33,869",Presnel Kimpembe,Marco Guida,FALSE
France,2022-06-10,20:45,UEFA Nations League,League A,Fri,Away,D,1,1,Austria,"44,800",Hugo Lloris,Anastasios Sidiropoulos,FALSE
France,2022-06-13,20:45,UEFA Nations League,League A,Mon,Home,L,0,1,Croatia,"774,100",Presnel Kimpembe,Orel Grinfeeld,FALSE
France,2022-09-22,20:45,UEFA Nations League,League A,Thu,Home,W,2,0,Austria,"70,188",Raphaël Varane,Andreas Ekberg,FALSE
France,2022-09-25,20:45,UEFA Nations League,League A,Sun,Away,L,0,2,Denmark,"36,064",Antoine Griezmann,István Kovács,FALSE
Germany,2021-03-25,20:45,WCQ,First round,Thu,Home,W,3,0,Iceland,"",Manuel Neuer,Srđan Jovanović,FALSE
Germany,2021-03-28,21:45,WCQ,First round,Sun,Away,W,1,0,Romania,"",Manuel Neuer,Clément Turpin,FALSE
Germany,2021-03-31,20:45,WCQ,First round,Wed,Home,L,1,2,N. Macedonia,"",İlkay Gündoğan,Sergey Karasev,FALSE
Germany,2021-09-02,20:45,WCQ,First round,Thu,Away,W,2,0,Liechtenstein,"7,958",Joshua Kimmich,Fábio Veríssimo,FALSE
Germany,2021-09-05,20:45,WCQ,First round,Sun,Home,W,6,0,Armenia,"18,086",Manuel Neuer,William Collum,FALSE
Germany,2021-09-08,18:45,WCQ,First round,Wed,Away,W,4,0,Iceland,"3,505",Manuel Neuer,Andreas Ekberg,FALSE
Germany,2021-10-08,20:45,WCQ,First round,Fri,Home,W,2,1,Romania,"25,000",Joshua Kimmich,Cüneyt Çakιr,FALSE
Germany,2021-10-11,20:45,WCQ,First round,Mon,Away,W,4,0,N. Macedonia,"16,182",Manuel Neuer,Danny Makkelie,FALSE
Germany,2021-11-11,20:45,WCQ,First round,Thu,Home,W,9,0,Liechtenstein,"25,984",Manuel Neuer,Ivana Martinčić,FALSE
Germany,2021-11-14,21:00,WCQ,First round,Sun,Away,W,4,1,Armenia,"7,200",Thomas Müller,François Letexier,FALSE
Germany,2022-03-26,20:45,Friendlies (M),Friendlies (M),Sat,Home,W,2,0,Israel,"",İlkay Gündoğan,Maurizio Mariani,FALSE
Germany,2022-03-29,20:45,Friendlies (M),Friendlies (M),Tue,Away,D,1,1,Netherlands,"50,387",Manuel Neuer,Craig Pawson,FALSE
Germany,2022-06-04,20:45,UEFA Nations League,League A,Sat,Away,D,1,1,Italy,"23,754",Manuel Neuer,Srdjan Stojanovic,FALSE
Germany,2022-06-07,20:45,UEFA Nations League,League A,Tue,Home,D,1,1,England,"66,289",Manuel Neuer,Carlos del Cerro,FALSE
Germany,2022-06-11,20:45,UEFA Nations League,League A,Sat,Away,D,1,1,Hungary,"55,948",Manuel Neuer,José Sánchez,FALSE
Germany,2022-06-14,20:45,UEFA Nations League,League A,Tue,Home,W,5,2,Italy,"44,144",Manuel Neuer,István Kovács,FALSE
Germany,2022-09-23,20:45,UEFA Nations League,League A,Fri,Home,L,0,1,Hungary,"39,513",Thomas Müller,Slavko Vinčič,FALSE
Germany,2022-09-26,19:45,UEFA Nations League,League A,Mon,Away,D,3,3,England,"78,949",Joshua Kimmich,Danny Makkelie,FALSE
Germany,2022-11-16,21:00,Friendlies (M),Friendlies (M),Wed,Away,"",,,Oman,"","","",FALSE
Ghana,2021-09-03,19:00,WCQ,Second round,Fri,Home,W,1,0,Ethiopia,"",André Ayew,Redouane Jiyed,FALSE
Ghana,2021-09-06,18:00,WCQ,Second round,Mon,Away,L,0,1,South Africa,"",André Ayew,Derrick Kafuli,FALSE
Ghana,2021-10-09,16:00,WCQ,Second round,Sat,Home,W,3,1,Zimbabwe,"",André Ayew,Pierre Atcho,FALSE
Ghana,2021-10-12,15:00,WCQ,Second round,Tue,Away,W,1,0,Zimbabwe,"",Thomas Partey,Amin Omar,FALSE
Ghana,2021-11-11,16:00,WCQ,Second round,Thu,Away,D,1,1,Ethiopia,"",André Ayew,Blaise Ngwa,FALSE
Ghana,2021-11-14,19:00,WCQ,Second round,Sun,Home,W,1,0,South Africa,"4,000",André Ayew,Maguette Ndiaye,FALSE
Ghana,2022-01-05,19:00,Friendlies (M),Friendlies (M),Wed,Neutral,L,0,3,Algeria,"1,045",Thomas Partey,Saoud Ali Al Adba,FALSE
Ghana,2022-01-10,17:00,Africa Cup of Nations,Group stage,Mon,Neutral,L,0,1,Morocco,"",André Ayew,Joshua Bondo,FALSE
Ghana,2022-01-14,20:00,Africa Cup of Nations,Group stage,Fri,Neutral,D,1,1,Gabon,"",André Ayew,Lahlou Benbraham,FALSE
Ghana,2022-01-18,20:00,Africa Cup of Nations,Group stage,Tue,Neutral,L,2,3,Comoros,"",André Ayew,Boubou Traoré,FALSE
Ghana,2022-03-25,19:30,WCQ,Third round,Fri,Home,D,0,0,Nigeria,"",Thomas Partey,Redouane Jiyed,FALSE
Ghana,2022-03-29,18:00,WCQ,Third round,Tue,Away,D,1,1,Nigeria,"",Thomas Partey,Sadek Selmi,FALSE
Ghana,2022-06-01,19:00,Africa Cup of Nations qualification,Group stage,Wed,Home,W,3,0,Madagascar,"",André Ayew,Mahamadou Keita,FALSE
Ghana,2022-06-05,14:00,Africa Cup of Nations qualification,Group stage,Sun,Neutral,D,1,1,CAR,"",Daniel Amartey,Pierre Ghislain Atcho,FALSE
Ghana,2022-09-23,20:30,Friendlies (M),Friendlies (M),Fri,Neutral,L,0,3,Brazil,"",André Ayew,Mikael Lesage,FALSE
Ghana,2022-09-27,20:00,Friendlies (M),Friendlies (M),Tue,Neutral,W,1,0,Nicaragua,"",Richard Ofori,Dario Bel,FALSE
Ghana,2022-11-17,14:00,Friendlies (M),Friendlies (M),Thu,Home,"",,,Switzerland,"","","",FALSE
IR Iran,2019-09-10,20:00,WCQ,Second round,Tue,Away,W,2,0,Hong Kong,"13,942",Ehsan Hajsafi,Yudai Yamamoto,FALSE
IR Iran,2019-10-10,17:00,WCQ,Second round,Thu,Home,W,14,0,Cambodia,"15,823",Ehsan Hajsafi,Banerjee Pranjal,FALSE
IR Iran,2019-10-15,19:30,WCQ,Second round,Tue,Away,L,0,1,Bahrain,"14,810",Ehsan Hajsafi,Valentin Kovalenko,FALSE
IR Iran,2019-11-14,16:00,WCQ,Second round,Thu,Away,L,1,2,Iraq,"13,752",Masoud Shojaei,Crishantha Dilan Perera,FALSE
IR Iran,2021-06-03,19:00,WCQ,Second round,Thu,Home,W,3,1,Hong Kong,"",Alireza Jahanbakhsh,Adham Makhadmeh,FALSE
IR Iran,2021-06-07,21:00,WCQ,Second round,Mon,Home,W,3,0,Bahrain,"",Ehsan Hajsafi,Fu Ming,FALSE
IR Iran,2021-06-11,17:30,WCQ,Second round,Fri,Away,W,10,0,Cambodia,"",Alireza Jahanbakhsh,Kim Jonghyeok,FALSE
IR Iran,2021-06-15,21:00,WCQ,Second round,Tue,Home,W,1,0,Iraq,"",Ehsan Hajsafi,Ilgiz Tantashev,FALSE
IR Iran,2021-09-02,20:30,WCQ,Third round,Thu,Home,W,1,0,Syria,"",Alireza Jahanbakhsh,Ryūji Satō,FALSE
IR Iran,2021-09-07,21:00,WCQ,Third round,Tue,Away,W,3,0,Iraq,"",Alireza Jahanbakhsh,Ma Ning,FALSE
IR Iran,2021-10-07,20:45,WCQ,Third round,Thu,Away,W,1,0,UAE,"3,034",Alireza Jahanbakhsh,Chris Beath,FALSE
IR Iran,2021-10-12,17:00,WCQ,Third round,Tue,Home,D,1,1,Korea Republic,"",Alireza Jahanbakhsh,Ahmed Al Kaf,FALSE
IR Iran,2021-11-11,14:00,WCQ,Third round,Thu,Away,W,2,1,Lebanon,"",Alireza Jahanbakhsh,Abdulrahman Ibrahim Al Jassim,FALSE
IR Iran,2021-11-16,18:00,WCQ,Third round,Tue,Away,W,3,0,Syria,907,Ehsan Hajsafi,Ma Ning,FALSE
IR Iran,2022-01-27,18:00,WCQ,Third round,Thu,Home,W,1,0,Iraq,"9,354",Alireza Jahanbakhsh,Chris Beath,FALSE
IR Iran,2022-02-01,18:00,WCQ,Third round,Tue,Home,W,1,0,UAE,"",Alireza Jahanbakhsh,Ahmed Al Kaf,FALSE
IR Iran,2022-03-24,20:00,WCQ,Third round,Thu,Away,L,0,2,Korea Republic,"64,375",Ehsan Hajsafi,Chris Beath,FALSE
IR Iran,2022-03-29,16:00,WCQ,Third round,Tue,Home,W,2,0,Lebanon,"22,453",Alireza Jahanbakhsh,Fu Ming,FALSE
IR Iran,2022-06-12,21:20,Friendlies (M),Friendlies (M),Sun,Neutral,L,1,2,Algeria,600,Ehsan Hajsafi,Mohammed Ahmed Al Shammari,FALSE
IR Iran,2022-09-23,19:30,Friendlies (M),Friendlies (M),Fri,Neutral,W,1,0,Uruguay,"",Ehsan Hajsafi,Walter Altmann,FALSE
IR Iran,2022-09-27,16:30,Friendlies (M),Friendlies (M),Tue,Neutral,D,1,1,Senegal,"",Ehsan Hajsafi,Harald Lechner,FALSE
IR Iran,2022-11-10,19:30,Friendlies (M),Friendlies (M),Thu,Home,W,1,0,Nicaragua,"",Vahid Amiri,Sadullo Gulmurodi,FALSE
IR Iran,2022-11-16,16:00,Friendlies (M),Friendlies (M),Wed,Home,L,0,2,Tunisia,"","","",FALSE
Japan,2019-09-10,18:50,WCQ,Second round,Tue,Away,W,2,0,Myanmar,"25,500",Maya Yoshida,Ahmad Ibrahim,FALSE
Japan,2019-10-10,19:35,WCQ,Second round,Thu,Home,W,6,0,Mongolia,"43,122",Maya Yoshida,Chae Sanghyeop,FALSE
Japan,2019-10-15,17:15,WCQ,Second round,Tue,Away,W,3,0,Tajikistan,"19,100",Maya Yoshida,Zaid Thamer Mohammed,FALSE
Japan,2019-11-14,17:20,WCQ,Second round,Thu,Away,W,2,0,Kyrgyz Republic,"17,543",Maya Yoshida,Mohammed Al Hoish,FALSE
Japan,2021-03-30,19:30,WCQ,Second round,Tue,Away,W,14,0,Mongolia,"",Maya Yoshida,Omar Mohamed Al Ali,FALSE
Japan,2021-05-28,19:20,WCQ,Second round,Fri,Home,W,10,0,Myanmar,"",Maya Yoshida,Hasan Akrami,FALSE
Japan,2021-06-07,19:30,WCQ,Second round,Mon,Home,W,4,1,Tajikistan,"",Genki Haraguchi,Abdelrahman Al Jassim,FALSE
Japan,2021-06-15,19:25,WCQ,Second round,Tue,Home,W,5,1,Kyrgyz Republic,"",Genki Haraguchi,Omar Mubarak Al Yaqoubi,FALSE
Japan,2021-09-02,19:14,WCQ,Third round,Thu,Home,L,0,1,Oman,"4,853",Maya Yoshida,Mohammed Abdulla Hassan,FALSE
Japan,2021-09-07,18:00,WCQ,Third round,Tue,Away,W,1,0,China PR,"",Maya Yoshida,Nawaf Shukralla,FALSE
Japan,2021-10-07,20:00,WCQ,Third round,Thu,Away,L,0,1,Saudi Arabia,"51,218",Maya Yoshida,Adham Makhadmeh,FALSE
Japan,2021-10-12,19:14,WCQ,Third round,Tue,Home,W,2,1,Australia,"14,437",Maya Yoshida,Abdulrahman Ibrahim Al Jassim,FALSE
