date,year,team,opponent,GF,GA,did_score,fail_to_score,did_receive_goal,not_receive_goal_team,GF_last_5,GA_last_5_team,pre_rating_team,pre_rating_opponent,qatar,result,magic_johnson_team,rating,GA_last_5_opponent,not_receive_goal_opponent,magic_johnson_opponent
2018-10-16,2018,Andorra,Kazakhstan,0,4,1,4,2,3,1,4,1065,1331,FALSE,L,0.177815388846498,1054,6,1,0.822184611153502
2018-10-13,2018,Andorra,Georgia,0,3,2,3,1,4,2,1,1079,1538,FALSE,L,0.0664703715245584,1075,1,4,0.933529628475442
2018-09-10,2018,Andorra,Kazakhstan,1,1,1,4,1,4,1,4,1064,1349,FALSE,D,0.162384541628603,1084,7,1,0.837615458371398
2018-09-06,2018,Andorra,Latvia,0,0,1,4,2,3,1,6,1061,1338,FALSE,D,0.168746084347953,1081,6,1,0.831253915652047
2018-08-18,2018,Andorra,United Arab Emirates,0,0,1,4,3,2,1,7,1051,1510,FALSE,D,0.0664703715245584,1077,3,3,0.933529628475442
2018-06-03,2018,Andorra,Cape Verde,0,0,1,4,4,1,1,10,1055,1467,FALSE,D,0.0853592420994873,1080,10,0,0.914640757900513
2018-03-21,2018,Andorra,Liechtenstein,1,0,0,5,5,0,0,11,,,FALSE,W,,,16,0,
2022-11-20,2022,Angola,South Africa,1,1,4,1,3,2,8,3,1420,1559,FALSE,D,0.309993792719686,1431,3,2,0.690006207280314
2022-11-17,2022,Angola,Botswana,1,0,4,1,4,1,9,4,1380,1360,FALSE,W,0.528750563892269,1408,4,2,0.471249436107731
2022-07-10,2022,Angola,Botswana,0,1,4,1,3,2,9,3,1417,1338,FALSE,L,0.611770500781064,1380,1,4,0.388229499218936
2022-07-07,2022,Angola,Seychelles,3,0,4,1,4,1,9,5,1414,900,FALSE,W,0.950678781133881,1417,13,0,0.0493212188661195
2022-07-05,2022,Angola,Comoros,3,1,4,1,4,1,7,5,1386,1273,FALSE,W,0.657118686487079,1407,7,1,0.342881313512921
2022-06-05,2022,Angola,Madagascar,1,1,4,1,4,1,8,6,1403,1313,FALSE,D,0.626699081666732,1395,8,1,0.373300918333268
2022-06-01,2022,Angola,Central African Republic,2,1,3,2,4,1,6,7,1385,1262,FALSE,W,0.669969013903483,1405,10,1,0.330030986096517
2022-03-29,2022,Angola,Equatorial Guinea,0,0,4,1,5,0,9,8,1396,1437,FALSE,D,0.441268630675239,1400,6,3,0.558731369324761
2022-03-26,2022,Angola,Guinea-Bissau,3,2,3,2,5,0,6,7,1356,1403,FALSE,W,0.432771155657048,1390,3,3,0.567228844342952
2021-11-16,2021,Angola,Libya,1,1,2,3,5,0,5,7,1368,1324,FALSE,D,0.562984728103596,1364,6,1,0.437015271896404
2021-11-12,2021,Angola,Egypt,2,2,2,3,4,1,5,5,1340,1623,FALSE,D,0.163956574457953,1360,1,4,0.836043425542047
2021-10-11,2021,Angola,Gabon,0,2,2,3,4,1,5,4,1377,1382,FALSE,L,0.492804918290949,1347,8,1,0.507195081709051
2021-10-08,2021,Angola,Gabon,3,1,1,4,4,1,2,4,1335,1429,FALSE,W,0.367929987899926,1373,7,1,0.632070012100074
2021-09-07,2021,Angola,Libya,0,1,1,4,3,2,2,3,1358,1369,FALSE,L,0.484175014735265,1329,9,0,0.515824985264735
2021-09-01,2021,Angola,Egypt,0,1,2,3,2,3,5,2,1380,1604,FALSE,L,0.215946316112185,1367,4,2,0.784053683887815
2021-03-29,2021,Angola,Gabon,2,0,2,3,3,2,5,3,1323,1470,FALSE,W,0.300230596737942,1365,6,1,0.699769403262058
2021-03-25,2021,Angola,Gambia,0,1,2,3,3,2,5,3,1351,1377,FALSE,L,0.462652682833507,1323,5,1,0.537347317166493
2020-11-17,2020,Angola,Democratic Republic of Congo,0,1,3,2,3,2,9,3,1371,1486,FALSE,L,0.340292005855252,1351,6,1,0.659707994144748
2020-11-14,2020,Angola,Democratic Republic of Congo,0,0,4,1,3,2,10,3,1355,1505,FALSE,D,0.296614996528171,1367,8,0,0.703385003471829
2020-10-13,2020,Angola,Mozambique,3,0,3,2,3,2,7,3,1345,1269,FALSE,W,0.60766106412682,1369,6,1,0.39233893587318
2018-11-18,2018,Angola,Burkina Faso,2,1,3,2,2,3,6,2,1281,1546,FALSE,W,0.178658528262988,1330,4,3,0.821341471737012
2018-10-16,2018,Angola,Mauritania,0,1,4,1,2,3,7,3,1313,1326,FALSE,L,0.481300222070441,1284,7,2,0.518699777929559
2018-10-12,2018,Angola,Mauritania,4,1,4,1,2,3,5,4,1293,1370,FALSE,W,0.39096739659576,1330,3,3,0.60903260340424
2018-09-09,2018,Angola,Botswana,1,0,4,1,3,2,5,5,1257,1336,FALSE,W,0.388229499218936,1294,5,2,0.611770500781064
2018-06-01,2018,Angola,Malawi,0,0,4,1,3,2,5,5,1261,1280,FALSE,D,0.472684026993507,1263,4,1,0.527315973006493
2018-05-30,2018,Angola,Mauritius,1,0,3,2,3,2,4,5,1232,1123,FALSE,W,0.651912039874664,1253,9,3,0.348087960125336
2018-05-28,2018,Angola,Botswana,1,2,3,2,2,3,4,3,1269,1307,FALSE,L,0.445530625978324,1242,2,4,0.554469374021676
2018-03-24,2018,Angola,Zimbabwe,2,2,3,2,2,3,3,4,1262,1474,FALSE,D,0.227871326531416,1278,10,0,0.772128673468584
2018-03-21,2018,Angola,South Africa,1,1,2,3,1,4,2,3,,,FALSE,D,,,9,0,
2022-06-12,2022,Anguilla,Saint Lucia,0,2,3,2,4,1,5,16,632,1056,FALSE,L,0.0801183430290193,627,6,2,0.919881656970981
2022-06-05,2022,Anguilla,Dominica,1,1,2,3,4,1,4,18,618,1022,FALSE,D,0.0890239685346547,643,3,2,0.910976031465345
2022-06-02,2022,Anguilla,Dominica,0,0,3,2,4,1,5,18,623,1071,FALSE,D,0.0705090956252296,649,5,1,0.92949090437477
2022-02-13,2022,Anguilla,Saint Martin,2,1,2,3,4,1,3,18,597,825,FALSE,W,0.212073231922598,644,20,0,0.787926768077402
2022-01-27,2022,Anguilla,British Virgin Islands,2,1,1,4,4,1,1,23,563,604,FALSE,W,0.441268630675239,597,22,0,0.558731369324761
2021-06-05,2021,Anguilla,Panama,0,13,1,4,3,2,1,10,564,1545,FALSE,L,0.00351536646932039,564,8,2,0.99648463353068
2021-06-02,2021,Anguilla,Dominica,0,3,2,3,3,2,2,8,595,1012,FALSE,L,0.0831387724042701,590,8,2,0.91686122759573
2021-05-23,2021,Anguilla,US Virgin Islands,1,0,1,4,4,1,1,14,554,690,FALSE,W,0.313699742316688,595,12,1,0.686300257683313
2021-03-30,2021,Anguilla,Barbados,0,1,1,4,4,1,1,18,556,1101,FALSE,L,0.0415957290321026,554,9,2,0.958404270967897
2021-03-27,2021,Anguilla,Dominican Republic,0,6,2,3,4,1,2,14,597,1194,FALSE,L,0.0311707493172619,595,2,3,0.968829250682738
2021-03-21,2021,Anguilla,US Virgin Islands,0,0,3,2,5,0,3,15,591,713,FALSE,D,0.331305043692668,601,,,0.668694956307332
2018-11-18,2018,Anguilla,Bahamas,1,1,3,2,5,0,3,19,570,886,FALSE,D,0.139548838242288,592,,,0.860451161757712
2018-10-14,2018,Anguilla,Nicaragua,0,6,4,1,5,0,5,14,572,1293,FALSE,L,0.0155134991252354,571,8,1,0.984486500874765
2018-09-07,2018,Anguilla,French Guiana,0,5,,,,,,,568,1335,FALSE,L,0.011947581060018,567,10,2,0.988052418939982
2018-08-26,2018,Anguilla,Saint Martin,1,2,,,,,,,590,854,FALSE,L,0.179504792713577,579,,,0.820495207286423
2018-08-22,2018,Anguilla,Sint Maarten,1,1,,,,,,,566,,FALSE,D,,,,,
2018-07-28,2018,Anguilla,Saint Martin,1,5,,,,,,,,832,FALSE,L,,,,,
2018-07-27,2018,Anguilla,Saint Barth̩lemy,2,1,,,,,,,,,FALSE,W,,,,,
2022-06-12,2022,Antigua and Barbuda,Cuba,1,3,3,2,2,3,3,5,1177,1302,FALSE,L,0.327490356665015,1157,3,3,0.672509643334985
2022-06-09,2022,Antigua and Barbuda,Cuba,0,2,4,1,1,4,6,3,1211,1282,FALSE,L,0.399221754109989,1187,5,2,0.600778245890011
